theme,record_type,video_id,title,creator,channel_id,url,views,thumbnail_description,video_description,comment_summary_description,fused_score,matched_signals,relevance,video_count,videos
gambling,video,EfS1nhIWWbw,ROBLOX IS SCREWED,Flamingo,UCm-X6o81nRsXQTmqpyArkBQ,https://www.youtube.com/watch?v=EfS1nhIWWbw,1849514,"The thumbnail consists of a layout with a young person with short brown hair wearing a pink shirt. On the left side, there is a prominent Roblox logo followed by the text '@Roblox' with a yellow verification checkmark. Below this, bold black text reads: 'WE NOW ALLOW - DATING - ALCOHOL - GAMBLING'. The background is mostly white, making the black text and logo stand out. The composition places significant visual emphasis on the list of newly 'allowed' behaviors, suggesting shock or controversy. The thumbnail likely intends to evoke surprise, concern, or curiosity regarding changes in content moderation or policy within the Roblox platform.",NEW MERCH GOES AWAY FOREVER AFTER VALENTINE'S DAY https://flimflam.shop/ Today I talk about the new Roblox update ...,"The comments overwhelmingly discuss Roblox's policy changes regarding gambling, profanity, alcohol, and romantic themes, with debate around whether these changes are appropriate given the platform's large child user base. Many express concerns about child safety, age verification effectiveness, and the potential for increased predatory behavior, while others welcome increased content variety and freedom for older players as the community matures. Sentiment is highly mixed: some see this as Roblox's decline or a loss of its original identity, while others believe it is a necessary evolution to match an older userbase. The audience also frequently references creator Flamingo/Albert, and there is significant nostalgia for 'old Roblox,' alongside jokes and memes about the ongoing changes.",0.01639,"[""topic""]",,,
gambling,video,gimPpwZ_nz4,A  Fish That Loves Air,Daily Dose Of Internet,UCdC0An4ZPNr_YiFiYoVbwaw,https://www.youtube.com/watch?v=gimPpwZ_nz4,3964171,"The thumbnail is divided into two panels. Both panels show an adult person in casual clothing (shorts and a purple shirt) standing next to a large aquarium. The person is interacting with the fish tank, holding an orange fish above the water. The aquarium contains additional fish, including several dark-colored ones, with a yellowish substrate and slightly cloudy water. The setting appears to be indoors, against a white brick wall. The person’s posture and hand movement indicate an active engagement with the fish, possibly removing or presenting the fish. The dominant colors are blue, green, orange, and white. The composition draws attention to the interaction between the person and the fish. The scene may evoke curiosity or concern about animal handling and welfare.","Hello everyone, this is YOUR Daily Dose of Internet. In this video, I found a fish that loves air. Links To Sources: Iron Man: ...","Comments are dominated by debate over flight attendants being fired for filming a video during takeoff, with viewers divided over safety versus fun at work. Other frequent discussions include admiration for the YouTuber building a real Iron Man suit, concern about the dangers of a malfunctioning microwave, and praise for an engineering student's strong popsicle stick bridge. Wholesome moments with animals and a baby seeing a Christmas tree also attract attention, while humorous and cultural notes are struck with Ireland's 'Santa' announcement and creative trick clips. Overall sentiment is mixed, ranging from outrage and concern to delight and admiration.",0.01613,"[""topic""]",,,
gambling,video,jJ2aTuCudkg,€3000 CASINO LIVESTREAM!😈 18+,JordyStorm,UCxmFU73cNUBMdmAcFtusHMg,https://www.youtube.com/watch?v=jJ2aTuCudkg,141025,"The image features two people, presenting as young adults, positioned on either side of a brightly colored wheel, reminiscent of a game or gambling device, with vibrant numbers and a 'D' visible. Both individuals are partially in the frame, focusing visual attention on the central object. The background includes playful, fantasy-style graphics with swirling shapes and pastel colors, indicating a lively, game-like setting. Large, bold red and white text '€3000' is prominently overlaid in the bottom center, drawing attention and suggesting a high-stakes or exciting theme. The overall composition is energetic, visually stimulating, and likely aims to evoke excitement, curiosity, and anticipation.",Doneren: https://www.tipeeestream.com/jordystormyt/donation Sponsor/Lid worden link: ...,"The comments predominantly focus on the excitement and entertainment of the casino gambling livestream, with viewers praising the streamers and the high-energy atmosphere. Many highlight impressive wins, close calls, and memorable moments from the stream, often mentioning Jordy, Djani, and Leftlane by name. There are several requests for more streams, expressions of enjoyment, and shoutouts, as well as occasional reminders about responsible gambling. Overall sentiment is highly enthusiastic and positive, with viewers expressing appreciation and anticipation for future content.",0.01587,"[""topic""]",,,
gambling,video,p3CwarIOCzk,Who Will Go To The UCL Semi-Final?,Fiago,UCxFXLJd86JC7KstPffy9BCQ,https://www.youtube.com/watch?v=p3CwarIOCzk,521345,"The image shows a young adult with short light brown hair, wearing a dark shirt. The subject is seated indoors against a plain, dimly lit background. Their hands are raised with open palms, possibly emphasizing a point or gesture. Two football club logos, FC Bayern Munich and Manchester City, are prominently displayed on the subject's shirt, digitally placed in post-editing. The text 'Bayern will still' is superimposed across the image, suggesting a discussion related to the two football teams. The color palette includes neutral tones with strong accents of red and blue from the logos. The overall emotional tone appears neutral to mildly enthusiastic, as inferred from the gesture and sport-related context.",,"The comments are mainly focused on analyzing and reacting to the YouTuber's football match predictions, with many viewers pointing out which outcomes were predicted correctly or incorrectly and noting especially shocking or accurate forecasts. Discussions about individual club performances, biases (especially toward or against certain teams like Man City, Bayern, and Roma), and fan pride are also prevalent. Sentiment is mixed, ranging from praise for good predictions to playful criticism and expressions of disbelief over bold or incorrect guesses. Betting and gambling warnings appear occasionally, while talk about the Europa and Conference League and the influence of key players or managers round out the conversation.",0.01562,"[""topic""]",,,
gambling,video,9yLprg-qSHE,"Carlos Bepaalt Mijn Dag Met €1000,-",Slotta,UCj1gY6Dm8VpEz9NKCCecF9Q,https://www.youtube.com/watch?v=9yLprg-qSHE,156958,"The image shows a crowded indoor environment with a visible structural background, possibly a stadium or arena. A person is positioned in the foreground, with another partially visible on the right. The person in the foreground is making an 'OK' hand gesture. Both individuals are wearing black and yellow clothing, which may indicate team colors or supporter scarves. The lighting suggests an energetic, lively atmosphere typical of sporting or large public events. The main colors are black, yellow, and muted tones from the background structure. The setting conveys excitement and engagement.","Voor de mensen die niet begrijpen dat het stukje in de auto satiren is, hierbij het zelf geschreven stuk over de prachtige wezens ...","The comments are overwhelmingly positive and focus on Frank, the host, and his humorous, entertaining style, with much discussion centered around football clubs, match experiences, and specific personalities such as Carlos. Viewers frequently mention gambling, share their appreciation for technical features like subtitles, and make energetic requests for more content and specific topics. There is strong fan engagement, some light debate about certain jokes or segments, and a recurring theme celebrating the unique and candid nature of the creator's content. Overall sentiment is enthusiastic, supportive, and playful.",0.01538,"[""topic""]",,,
gambling,video,NFUz4qJTei4,"$250 VS $25,000 Dream Vacation! (BUDGET CHALLENGE)",FaZe Rug,UCilwZiBBfI9X6yiZRzWty8Q,https://www.youtube.com/watch?v=NFUz4qJTei4,5956816,"The image is visually divided into two contrasting halves. On the left, there is an old, weathered motel sign with the word 'MOTEL' and 'POOL' against a blue sky. Below the sign is a basic motel building, and a greenish pool is visible. There are dark stains resembling dirt or blood on the person's white shirt. On the right, the background displays a luxurious resort complex with elaborate waterslides, palm trees, and yachts docked by a beach. The colors are vibrant and saturated, particularly on the right side, creating a stark visual contrast. The central figure is a young adult with light hair, wearing a white shirt. The overall composition suggests a comparison between low-budget and luxury experiences, possibly evoking curiosity or intrigue.",I challenged my best friend Noah to a cheap vs expensive vacation challenge in Las Vegas! It was so much fun SUBSCRIBE ...,"The comments overwhelmingly discuss and compare Faze Rug and Noah's experiences in Las Vegas, focusing on the contrast between expensive and budget hotels. Many viewers express that Noah seemed to have more fun despite a much lower budget, highlighting that enjoyment doesn't depend on money. Fans share personal stories about their own Vegas trips, shower the creators with praise, and suggest new challenge ideas. The overall sentiment is highly positive and enthusiastic, with recurring jokes about memorable quotes and playful references to broader YouTube trends.",0.01515,"[""topic""]",,,
gambling,video,im_s0dAtOOU,Roblox BACK THEN to NOW is HORRIBLE,Flamingo,UCm-X6o81nRsXQTmqpyArkBQ,https://www.youtube.com/watch?v=im_s0dAtOOU,4649574,"The thumbnail is divided into two halves, comparing 'ROBLOX 2006' on the left with 'ROBLOX 2023' on the right. The left side features two blocky, cartoon-style characters with neutral facial expressions, one wearing blue and one wearing yellow, standing outside on grass next to a large rock. The background is simple and colorful. The right side shows a more detailed, cartoon-style character with a surprised or shocked facial expression, surrounded by cartoon animals against a background of in-game purchase prompts. Below the images are captions: the left reads 'look at a rock' with game play statistics in blue and red text, while the right reads '[GAMBLING] PET SIM X!' with thumbs-up and view icons. The colors are vibrant and the composition contrasts simplicity and complexity, possibly evoking nostalgia, surprise, or concern about changes.",original vid: https://www.youtube.com/watch?v=r2-ISGgs1yk Today I play every top Roblox game throughout EVERY year of ...,"The comments are heavily centered around nostalgia for the 'old Roblox,' with users reminiscing about past games, features, and particularly the more friendly, less toxic community. Many echo the quoted sentiment that people don't truly miss the old Roblox itself, but rather the happiness, simplicity, and positive memories associated with it. There are also notable discussions about controversial elements in modern Roblox, such as in-game gambling mechanics, a decline in unique games, and increased platform corporatization. The overall sentiment is bittersweet, with a mix of fond remembrance, humorous references, and lament over perceived negative changes to both the community and platform.",0.01493,"[""topic""]",,,
gambling,video,U-8EYmXOInY,De Sterkste Piraat In Contentveen (Minecraft Survival),Walnut,UCk0ZtztoY8TwR4jb83vnyvw,https://www.youtube.com/watch?v=U-8EYmXOInY,51184,"The thumbnail features a stylized, blocky character reminiscent of Minecraft graphics, depicted as a pirate with a brown hat, red jacket, and blue pants. The character appears to be in a youthful age group and has an expressive, open-mouthed facial expression suggesting excitement or intensity. The character is holding two pistols with sparks at the ends, indicating action or firing. The background shows tropical elements such as palm trees, a mountainous landscape, and a blue sky with clouds. There are piles of gold coins and colorful jewels at the character's feet, evoking a treasure or adventure theme. A pirate sail with a skull symbol can be seen to the left. The overall color palette is bright and vivid, emphasizing action and high energy.",De Sterkste Piraat In Contentveen (Minecraft Survival) ✔️ Abonneer voor goeie content: https://bit.ly/WalnutHenkie Vind mij ook ...,"The comments are lively and positive, with viewers frequently expressing appreciation for Max's videos and requesting more content, especially roleplay episodes and the return of favorite characters like Fred and Penelope. Many engage directly with the ongoing Minecraft storyline, speculating about the disappearance of Harry and the actions of characters like Meneer KB. Fans offer numerous building ideas and technical Minecraft tips, often encouraging Max to try new things in the game. Overall, sentiment is very supportive and enthusiastic, reflecting a highly engaged and creative community.",0.01471,"[""topic""]",,,
gambling,video,DGWWRFTfMMA,FORTNITE ARENA onderweg naar 30.000 PUNTEN!,JordyStorm,UCxmFU73cNUBMdmAcFtusHMg,https://www.youtube.com/watch?v=DGWWRFTfMMA,19471,"The thumbnail features a young person with light skin and brown hair wearing a dark shirt and silver chain, positioned to the left side. The background is a colorful animated landscape with blue skies, green grass, tropical trees, and a body of water, evoking a video game environment. To the right, a bold graphic panel includes a large gold crown with a gem, the text 'CHAMPION LEAGUE', 'DIVISION 10', and '30.000' in bright yellow, along with a blue flame icon. The composition and vivid colors emphasize achievement and competition, likely related to video gaming. The overall design suggests excitement and accomplishment.","Welkom bij een NIEUWE LIVESTREAM! ▭ ❗️ Doneren onder de 18 , toestemming vragen aan je ouders! Doneren: ...","The comments are largely positive and directed toward the creator, Yordy, expressing admiration and personal connections. Viewers frequently mention Fortnite and challenge the creator to in-game matches, while also asking for videos made for children due to viewing restrictions. Requests for new content, such as casino-related videos, are also present. Overall, the sentiment is supportive and interactive with an emphasis on personal engagement and content requests.",0.01449,"[""topic""]",,,
gambling,video,VTLeZBRrNek,Kan Je Van €300 Naar €1000 gaan met MONOPOLY? **BIZAR DIT!!**,JordyStorm,UCxmFU73cNUBMdmAcFtusHMg,https://www.youtube.com/watch?v=VTLeZBRrNek,72670,"The image is a colorful thumbnail featuring two adults, one presenting as male (left, wearing a blue shirt and chain) and one presenting as female (right, wearing a red dress). Between them is a large, prominently-displayed spinning wheel with numbers and Monopoly-themed icons, reminiscent of a game show set. The central part of the wheel has a Monopoly top hat with dice. Overlaid text in bold red and white reads 'MONOPOLY LIVE' and '€1000', suggesting a substantial prize or cash element. The setting hints at a studio or virtual casino environment, with bright, engaging colors and dynamic composition meant to attract attention and inspire excitement or curiosity. The symbols and visuals together evoke themes of gaming, competition, luck, and high stakes.",In deze video gaan we gokken in online casino in MONOPOLY.. gaan we winnen of verliezen? Websites ⤵ Merchandise: ...,"The comments are highly engaged and positive, focusing mainly on gambling and casino games, with many viewers expressing enthusiasm for the content and streamer Jordy. There is frequent praise for the fun videos and streams, with viewers requesting more similar content and sharing inside jokes. Several comments appreciate responsible gambling reminders, while others discuss technical aspects like reposts and upload timings. Overall sentiment is upbeat, with a strong community vibe and recurring calls to continue producing such entertaining videos.",0.01429,"[""topic""]",,,
